OrganRus,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Samples
АДВЕНТИЦИАЛЬНАЯ ОБОЛОЧКА,1.83900000,-1.19940000,1.75890000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3
АЛЬВЕОЛЯРНАЯ КОСТЬ,1.80660000,1.82230000,1.83790000,1.85350000,1.86910000,1.88480000,1.90040000,1.91600000,1
АНТРАЛЬНЫЙ  ОТДЕЛ.,1.72300000,1.68300000,2.11050000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2
АОРТА,1.74500000,1.89800000,1.95400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
АППАРАТ ГОЛЬДЖИ,1.68940000,1.77540000,1.83790000,1.93160000,0.00000000,0.00000000,0.00000000,0.00000000,1
АРТЕРИАЛЬНАЯ СВЯЗКА,1.72850000,1.74410000,1.75980000,1.77540000,1.79100000,1.80660000,1.82230000,1.83790000,1
АРТЕРИАЛЬНЫЕ  ДУГИ  ТОНКОЙ  КИШКИ,1.81200000,3.47600000,1.75500000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
АРТЕРИАЛЬНЫЙ  СОСУД,1.83330000,0.67830000,1.82580000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00010000,2
АРТЕРИЯ  ТОЩЕЙ  КИШКИ,1.78700000,1.97000000,2.27600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
АРТЕРИЯ  ЧЕРВЕОБРАЗНОГО  ОТРОСТКА,1.66600000,1.68160000,1.69730000,1.71290000,1.72850000,1.74410000,1.75980000,1.77540000,1
АРТЕРИЯ ВЕРХНЕЙ ГУБЫ,1.72140000,1.10960000,-0.00450000,1.08260000,0.00000000,-0.00110000,0.87060000,0.00000000,2
АРТЕРИЯ НИЖНЕЙ ГУБЫ,1.71950000,1.23200000,2.18200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2
АРТЕРИЯ ЯИЧКА (ЯИЧНИКА),1.79100000,1.80660000,1.82230000,1.83790000,1.85350000,1.86910000,1.88480000,1.90040000,1
АТОМ АЗОТА,1.76500000,1.32400000,2.17900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3
АТОМ КИСЛОРОДА,1.64300000,1.21700000,1.56400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3
АТОМ УГЛЕРОДА,1.78800000,1.97000000,2.27600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3
АЦИНУС  ПОДЖЕЛУДОЧНОЙ  ЖЕЛЕЗЫ,1.64600000,1.13400000,1.89200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
БАЗАЛЬНАЯ ПЛАСТИНКА,1.76960000,0.00000000,1.63720000,0.00000000,1.76600000,0.00000000,1.63720000,0.00000000,1
