第1环质量,第2环质量,第3环质量,公差,最大公约数
2205,6405,10605,4200,105
2835,6885,10935,4050,405
2835,7035,11235,4200,105
4935,9315,13695,4380,15
5265,9675,14085,4410,45
7371,11529,15687,4158,189
7605,11745,15885,4140,45
7695,11925,16155,4230,45
7665,11925,16185,4260,15
8379,12555,16731,4176,9
8325,12555,16785,4230,45
8295,12675,17055,4380,15
9315,13335,17355,4020,15
9345,13695,18045,4350,15
9345,13797,18249,4452,21
10017,14265,18513,4248,9
10935,15165,19395,4230,45
11151,15309,19467,4158,189
11925,16005,20085,4080,15
11865,16005,20145,4140,15
11745,16155,20565,4410,45
12555,16785,21015,4230,45
12663,16821,20979,4158,189
12555,16821,21087,4266,27
12789,17235,21681,4446,9
13095,17505,21915,4410,45
13275,17655,22035,4380,15
13815,17865,21915,4050,45
13695,17865,22035,4170,15
13995,18045,22095,4050,45
14931,19089,23247,4158,189
16515,20565,24615,4050,45
16155,20601,25047,4446,9
16665,20691,24717,4026,33
16731,20745,24759,4014,9
16665,20865,25065,4200,15
16995,21087,25179,4092,33
16995,21165,25335,4170,15
16785,21165,25545,4380,15
17505,21555,25605,4050,45
17355,21555,25755,4200,15
17505,21681,25857,4176,9
17865,21915,25965,4050,45
17655,22035,26415,4380,15
18855,22905,26955,4050,45
19485,23535,27585,4050,45
19899,24219,28539,4320,27
20223,24381,28539,4158,189
20745,24765,28785,4020,15
20979,25047,29115,4068,9
20691,25047,29403,4356,1089
21015,25065,29115,4050,45
20745,25065,29385,4320,45
21015,25335,29655,4320,45
21555,25605,29655,4050,45
22035,26265,30495,4230,15
22095,26415,30735,4320,45
22407,26433,30459,4026,33
22635,26685,30735,4050,45
22695,26715,30735,4020,15
23793,27951,32109,4158,231
24381,28539,32697,4158,189
24615,28935,33255,4320,45
25335,29385,33435,4050,45
25047,29403,33759,4356,1089
25695,29745,33795,4050,45
25755,29757,33759,4002,3
25893,30051,34209,4158,189
25857,30051,34245,4194,9
26103,30261,34419,4158,231
25965,30285,34605,4320,45
26685,30735,34785,4050,45
26715,30849,34983,4134,39
26715,31065,35415,4350,15
26685,31065,35445,4380,15
27951,32109,36267,4158,231
28395,32715,37035,4320,45
28935,32985,37035,4050,45
28935,33327,37719,4392,9
28899,33327,37755,4428,9
29055,33405,37755,4350,15
29115,33435,37755,4320,45
29403,33561,37719,4158,297
29385,33561,37737,4176,9
29655,33759,37863,4104,9
29337,33759,38181,4422,33
