第1环质量,第2环质量,第3环质量,公差,最大公约数
4410,4830,5250,420,210
4290,4950,5610,660,330
4410,5130,5850,720,90
3990,5130,6270,1140,570
4410,5250,6090,840,210
4290,5250,6210,960,30
3990,5250,6510,1260,210
4950,5610,6270,660,330
4590,5610,6630,1020,510
4290,5850,7410,1560,390
4830,6090,7350,1260,210
4590,6090,7590,1500,30
4410,6090,7770,1680,210
4830,6210,7590,1380,690
5130,6270,7410,1140,570
4950,6270,7590,1320,330
4290,6270,8250,1980,330
5610,6510,7410,900,30
5250,6510,7770,1260,210
4410,6510,8610,2100,210
3990,6510,9030,2520,210
5610,6630,7650,1020,510
4290,6630,8970,2340,390
6090,7350,8610,1260,210
4950,7350,9750,2400,150
4830,7350,9870,2520,210
4410,7350,10290,2940,1470
6210,7410,8610,1200,30
5850,7410,8970,1560,390
5130,7410,9690,2280,570
4950,7410,9870,2460,30
4830,7410,9990,2580,30
6270,7590,8910,1320,330
6210,7590,8970,1380,690
4290,7590,10890,3300,330
6270,7650,9030,1380,30
5610,7650,9690,2040,510
4410,7650,10890,3240,90
6630,7770,8910,1140,30
6510,7770,9030,1260,210
5850,7770,9690,1920,30
5250,7770,10290,2520,210
4290,7770,11250,3480,30
6630,8250,9870,1620,30
6510,8250,9990,1740,30
6210,8250,10290,2040,30
5610,8250,10890,2640,330
5250,8250,11250,3000,750
7350,8610,9870,1260,210
5610,8610,11610,3000,30
6210,8910,11610,2700,270
6090,8910,11730,2820,30
5130,8910,12690,3780,270
7650,8970,10290,1320,30
6210,8970,11730,2760,690
5250,8970,12690,3720,30
4830,8970,13110,4140,690
3990,8970,13950,4980,30
7770,9030,10290,1260,210
4950,9030,13110,4080,30
7770,9690,11610,1920,30
7650,9690,11730,2040,510
6630,9690,12750,3060,510
6270,9690,13110,3420,570
5130,9690,14250,4560,570
4590,9690,14790,5100,510
8610,9750,10890,1140,30
8250,9750,11250,1500,750
7770,9750,11730,1980,30
5250,9750,14250,4500,750
4290,9750,15210,5460,390
6630,9870,13110,3240,30
4950,9870,14790,4920,30
8910,9990,11070,1080,270
8250,9990,11730,1740,30
8970,10290,11610,1320,30
6630,10290,13950,3660,30
6270,10290,14310,4020,30
9030,10890,12750,1860,30
5850,10890,15930,5040,90
5250,10890,16530,5640,30
5130,10890,16650,5760,90
6090,10962,15834,4872,1218
9030,11070,13110,2040,30
7350,11070,14790,3720,30
6210,11070,15930,4860,270
5610,11070,16530,5460,30
9750,11250,12750,1500,750
8250,11250,14250,3000,750
5850,11250,16650,5400,450
5250,11250,17250,6000,750
4830,11250,17670,6420,30
4410,11250,18090,6840,90
6510,11466,16422,4956,42
4410,11466,18522,7056,882
3990,11466,18942,7476,42
8970,11610,14250,2640,30
8910,11610,14310,2700,270
7410,11610,15810,4200,30
5130,11610,18090,6480,270
9870,11718,13566,1848,42
6510,11718,16926,5208,1302
8250,11730,15210,3480,30
7650,11730,15810,4080,510
6210,11730,17250,5520,690
4290,11730,19170,7440,30
3990,11730,19470,7740,30
11718,12558,13398,840,42
9870,12558,15246,2688,42
7350,12558,17766,5208,42
5250,12558,19866,7308,42
4830,12558,20286,7728,966
4410,12558,20706,8148,42
11070,12690,14310,1620,270
8910,12690,16470,3780,270
6210,12690,19170,6480,270
5250,12690,20130,7440,30
3990,12690,21390,8700,30
11250,12750,14250,1500,750
10290,12750,15210,2460,30
9690,12750,15810,3060,510
9030,12750,16470,3720,30
8970,12750,16530,3780,30
8250,12750,17250,4500,750
7410,12750,18090,5340,30
10290,13110,15930,2820,30
9750,13110,16470,3360,30
9690,13110,16530,3420,570
8970,13110,17250,4140,690
7770,13110,18450,5340,30
6510,13110,19710,6600,30
6210,13110,20010,6900,690
6090,13110,20130,7020,30
4830,13110,21390,8280,690
10962,13398,15834,2436,1218
9870,13398,16926,3528,42
9030,13398,17766,4368,42
6510,13398,20286,6888,42
6090,13398,20706,7308,1218
8610,13566,18522,4956,42
4830,13566,22302,8736,42
3990,13566,23142,9576,798
13110,13950,14790,840,30
12690,13950,15210,1260,90
11250,13950,16650,2700,450
7770,13950,20130,6180,30
6510,13950,21390,7440,930
11718,13986,16254,2268,378
9030,13986,18942,4956,42
4830,13986,23142,9156,42
12690,14250,15810,1560,30
11250,14250,17250,3000,750
9030,14250,19470,5220,30
7350,14250,21150,6900,150
6630,14250,21870,7620,30
6090,14250,22410,8160,30
5250,14250,23250,9000,750
4830,14250,23670,9420,30
4410,14250,24090,9840,30
4290,14250,24210,9960,30
12690,14310,15930,1620,270
8910,14310,19710,5400,270
8610,14310,20010,5700,30
6510,14310,22110,7800,30
6210,14310,22410,8100,270
4950,14310,23670,9360,90
4410,14310,24210,9900,90
13110,14790,16470,1680,30
9870,14790,19710,4920,30
8250,14790,21330,6540,30
4290,14790,25290,10500,30
13566,14994,16422,1428,714
11466,14994,18522,3528,882
7350,14994,22638,7644,294
5250,14994,24738,9744,42
13950,15210,16470,1260,90
12750,15210,17670,2460,30
11250,15210,19170,3960,90
11070,15210,19350,4140,90
10290,15210,20130,4920,30
9030,15210,21390,6180,30
6210,15210,24210,9000,90
5130,15210,25290,10080,90
4950,15210,25470,10260,90
13566,15246,16926,1680,42
7350,15246,23142,7896,42
4950,15246,25542,10296,198
10962,15498,20034,4536,378
10290,15498,20706,5208,42
6510,15498,24486,8988,42
4410,15498,26586,11088,126
13950,15810,17670,1860,930
11610,15810,20010,4200,30
10290,15810,21330,5520,30
9870,15810,21750,5940,30
9750,15810,21870,6060,30
7410,15810,24210,8400,30
6270,15810,25350,9540,30
6090,15810,25530,9720,30
5250,15810,26370,10560,30
3990,15810,27630,11820,30
15246,15834,16422,588,42
10962,15834,20706,4872,1218
9030,15834,22638,6804,42
8610,15834,23058,7224,42
7350,15834,24318,8484,42
5250,15834,26418,10584,42
4410,15834,27258,11424,42
15210,15930,16650,720,90
12690,15930,19170,3240,270
11730,15930,20130,4200,30
9990,15930,21870,5940,270
9750,15930,22110,6180,30
8610,15930,23250,7320,30
7770,15930,24090,8160,30
7650,15930,24210,8280,90
6510,15930,25350,9420,30
13986,16254,18522,2268,378
13566,16254,18942,2688,42
9870,16254,22638,6384,42
8910,16254,23598,7344,54
7770,16254,24738,8484,42
6090,16254,26418,10164,42
5250,16254,27258,11004,42
4590,16254,27918,11664,54
4410,16254,28098,11844,126
12558,16422,20286,3864,966
7770,16422,25074,8652,42
4830,16422,28014,11592,966
3990,16422,28854,12432,42
11610,16470,21330,4860,270
11070,16470,21870,5400,270
9690,16470,23250,6780,30
7650,16470,25290,8820,90
7590,16470,25350,8880,30
7410,16470,25530,9060,30
4950,16470,27990,11520,90
4410,16470,28530,12060,90
15810,16530,17250,720,30
11730,16530,21330,4800,30
8970,16530,24090,7560,30
7770,16530,25290,8760,30
7590,16530,25470,8940,30
6090,16530,26970,10440,870
15210,16650,18090,1440,90
13950,16650,19350,2700,450
10890,16650,22410,5760,90
9870,16650,23430,6780,30
8910,16650,24390,7740,90
7770,16650,25530,8880,1110
5130,16650,28170,11520,90
14994,16758,18522,1764,882
9030,16758,24486,7728,42
3990,16758,29526,12768,798
15498,16926,18354,1428,42
13986,16926,19866,2940,42
13566,16926,20286,3360,42
12558,16926,21294,4368,546
11718,16926,22134,5208,1302
9030,16926,24822,7896,42
5250,16926,28602,11676,42
14790,17250,19710,2460,30
13110,17250,21390,4140,690
12750,17250,21750,4500,750
11250,17250,23250,6000,750
11070,17250,23430,6180,30
10290,17250,24210,6960,30
9030,17250,25470,8220,30
8970,17250,25530,8280,690
6510,17250,27990,10740,30
5130,17250,29370,12120,30
16926,17670,18414,744,186
15210,17670,20130,2460,30
13950,17670,21390,3720,930
11250,17670,24090,6420,30
9990,17670,25350,7680,30
9870,17670,25470,7800,30
8970,17670,26370,8700,30
7590,17670,27750,10080,30
7350,17670,27990,10320,30
15498,17766,20034,2268,378
15246,17766,20286,2520,126
13398,17766,22134,4368,42
11466,17766,24066,6300,126
9990,17766,25542,7776,54
8910,17766,26622,8856,54
7350,17766,28182,10416,42
16470,18090,19710,1620,270
14790,18090,21390,3300,30
14310,18090,21870,3780,270
12750,18090,23430,5340,30
11250,18090,24930,6840,90
10890,18090,25290,7200,90
7650,18090,28530,10440,90
5850,18090,30330,12240,90
4950,18090,31230,13140,90
4410,18090,31770,13680,90
3990,18090,32190,14100,30
17766,18354,18942,588,42
16422,18354,20286,1932,966
14994,18354,21714,3360,42
13566,18354,23142,4788,798
13110,18354,23598,5244,2622
10290,18354,26418,8064,42
8610,18354,28098,9744,42
8250,18354,28458,10104,6
7350,18354,29358,11004,42
15498,18414,21330,2916,54
13398,18414,23430,5016,66
8910,18414,27918,9504,594
14790,18450,22110,3660,30
12690,18450,24210,5760,90
11610,18450,25290,6840,90
8910,18450,27990,9540,90
6090,18450,30810,12360,30
5130,18450,31770,13320,90
4590,18450,32310,13860,90
16758,18522,20286,1764,882
13986,18522,23058,4536,378
12690,18522,24354,5832,54
12558,18522,24486,5964,42
11070,18522,25974,7452,54
9030,18522,28014,9492,42
6090,18522,30954,12432,42
4830,18522,32214,13692,42
18414,18942,19470,528,66
15246,18942,22638,3696,462
13566,18942,24318,5376,42
13398,18942,24486,5544,462
11466,18942,26418,7476,42
9870,18942,28014,9072,42
9030,18942,28854,9912,42
