N_max,method,ratio,var_Kp,var_Kn,n_coeffs,n_primes,time_s
60,Vanilla,1.753550,0.636777,0.363136,59,17,0.0008
60,Croft-Servi,446.989453,0.153296,0.000343,15,14,0.0003
100,Vanilla,1.641985,0.706297,0.430148,99,25,0.0009
100,Croft-Servi,67.069845,0.203122,0.003029,25,22,0.0003
200,Vanilla,1.554938,0.777319,0.499904,199,46,0.0011
200,Croft-Servi,20.806535,0.259151,0.012455,53,43,0.0004
500,Vanilla,1.490024,0.845534,0.567463,499,95,0.0032
500,Croft-Servi,9.403356,0.317818,0.033798,133,92,0.0008
1000,Vanilla,1.460136,0.880083,0.602741,999,168,0.0058
1000,Croft-Servi,7.005034,0.349131,0.049840,265,165,0.0016
2000,Vanilla,1.438412,0.904390,0.628742,1999,303,0.0132
2000,Croft-Servi,5.796697,0.371699,0.064123,533,300,0.0032
