lo,hi,primes,coverage_pct
7,10000,1226,100.0
10000,100000,8363,100.0
100000,1000000,68906,100.0
1000000,10000000,586081,89.25999999999999

range,basis_size,basis_count,smooth_count,coverage_pct,time_s
1M,3,3,578,16.133333333333333,0.24357199668884277
1M,4,4,1502,57.03333333333334,0.3541679382324219
1M,5,5,2956,94.96666666666667,0.12570691108703613
1M,6,6,5119,100.0,0.02294635772705078
1M,7,7,7872,100.0,0.015133142471313477
1M,8,8,11368,100.0,0.013297557830810547
10M,3,3,861,16.133333333333333,0.36458921432495117
10M,4,4,2492,57.13333333333333,0.570838212966919
10M,5,5,5369,95.06666666666666,0.19022345542907715
10M,6,6,10083,100.0,0.026004314422607422
10M,7,7,16626,100.0,0.020841360092163086
10M,8,8,25548,100.0,0.022410869598388672
