experiment,step,w_max,helicity,dH,nu
p02_antiparallel,0,0.9713791309120776,0.0,0.0,0.001
p02_antiparallel,50,0.5057578003358785,0.0,0.0,0.001
p02_antiparallel,100,0.33143009128507106,0.0,0.0,0.001
p02_antiparallel,150,0.23590765273994851,0.0,0.0,0.001
p02_antiparallel,200,0.17791694042327216,0.0,0.0,0.001
p02_antiparallel,250,0.14203009888670884,0.0,0.0,0.001
p02_antiparallel,300,0.11586558359179883,0.0,0.0,0.001
p02_antiparallel,350,0.09647780248899723,0.0,0.0,0.001
p02_antiparallel,400,0.08278546273540897,0.0,0.0,0.001
p02_antiparallel,450,0.07174871510459536,0.0,0.0,0.001
p02_antiparallel,500,0.06274003197495259,0.0,0.0,0.001
p02_antiparallel,550,0.05557916356137832,0.0,0.0,0.001
p02_antiparallel,600,0.049856234442735375,0.0,0.0,0.001
p02_antiparallel,650,0.044950091080045704,0.0,0.0,0.001
p02_antiparallel,700,0.04071752924725105,0.0,0.0,0.001
p02_antiparallel,750,0.037085282168983574,0.0,0.0,0.001
p02_antiparallel,800,0.03412105759063927,0.0,0.0,0.001
p02_antiparallel,850,0.031487193556654115,0.0,0.0,0.001
p02_antiparallel,900,0.029138420887656027,0.0,0.0,0.001
p02_antiparallel,950,0.027036505803578824,0.0,0.0,0.001
p02_antiparallel,1000,0.025182412476994098,0.0,0.0,0.001
p02_antiparallel,1050,0.023597485688785655,0.0,0.0,0.001
p02_antiparallel,1100,0.02215253427193334,0.0,0.0,0.001
p02_antiparallel,1150,0.020832307178346228,0.0,0.0,0.001
p02_antiparallel,1200,0.019623433798485614,0.0,0.0,0.001
p02_antiparallel,1250,0.018514184402070557,0.0,0.0,0.001
p02_antiparallel,1300,0.017543204735884037,0.0,0.0,0.001
p02_antiparallel,1350,0.016659149691297878,0.0,0.0,0.001
p02_antiparallel,1400,0.01583799909993227,0.0,0.0,0.001
p02_antiparallel,1450,0.015074203500450791,0.0,0.0,0.001
p01_pks_cone,0,352.45257382866254,-3851321.2545739627,3851321.4103108626,0.001
p01_pks_cone,50,77.5834827569776,-32381029.284870327,28529708.030296363,0.001
p01_pks_cone,100,42.176364368972685,14173629.804832578,46554659.089702904,0.001
p01_pks_cone,150,26.222194432389617,55271897.150331974,41098267.3454994,0.001
p01_pks_cone,200,17.799989432026244,111948107.05135489,56676209.90102291,0.001
p01_pks_cone,250,13.898063355706617,193576059.99045157,81627952.93909669,0.001
p01_pks_cone,300,12.267665333505384,300405041.6194953,106828981.6290437,0.001
p01_pks_cone,350,11.807388697863574,427082378.96161056,126677337.34211528,0.001
p01_pks_cone,400,13.007692608643005,563653782.6718863,136571403.71027577,0.001
p01_pks_cone,450,13.904469271539824,697835372.2059033,134181589.53401697,0.001
p01_pks_cone,500,13.965447122689435,818440339.5861218,120604967.3802185,0.001
p01_pks_cone,550,13.41253297632902,917998408.6890913,99558069.10296953,0.001
p01_pks_cone,600,12.477677773981288,993510178.8268735,75511770.13778222,0.001
p01_pks_cone,650,11.359429543187396,1045681430.7293525,52171251.90247893,0.001
p01_pks_cone,700,10.182194845692216,1077539720.7314634,31858290.002110958,0.001
p01_pks_cone,750,9.037623986878145,1093138116.8711889,15598396.139725447,0.001
p01_pks_cone,800,7.9644114775003425,1096624275.4449434,3486158.573754549,0.001
p01_pks_cone,850,6.990636707909466,1091650184.9517274,4974090.493216038,0.001
p01_pks_cone,900,6.120566158822514,1081020451.6012218,10629733.35050559,0.001
p01_pks_cone,950,5.352632597560293,1066548975.4356793,14471476.165542483,0.001
p01_pks_cone,1000,4.68140440392089,1049153705.6102188,17395269.825460553,0.001
p01_pks_cone,1050,4.3088405814501485,1029163971.942271,19989733.66794777,0.001
p01_pks_cone,1100,4.1264841013816405,1006702920.3272221,22461051.615048885,0.001
p01_pks_cone,1150,3.9730769766309444,981978114.7151048,24724805.61211729,0.001
p01_pks_cone,1200,3.8459202887547437,955403320.518905,26574794.196199775,0.001
p01_pks_cone,1250,3.7417180285520426,927582802.8703966,27820517.64850843,0.001
p01_pks_cone,1300,3.6541721941457284,899228668.2384341,28354134.631962538,0.001
p01_pks_cone,1350,3.5736105103253584,871064753.8527387,28163914.38569534,0.001
p01_pks_cone,1400,3.503564315607799,843744788.4891798,27319965.36355889,0.001
p01_pks_cone,1450,3.430049267700363,817796869.3494565,25947919.1397233,0.001

experiment,w_init,w_final,growth,n_reconnections,time_s
p02_antiparallel,0.9713791309120776,0.015074203500450791,0.015518352228029492,0,17.44419264793396
p01_pks_cone,352.45257382866254,3.430049267700363,0.009731945579060547,28,16.293137788772583
