=== BSD Euler Product + Convergence Extrapolation Results ===
""
Curve,Label,Conductor,TrueRank,DetectedRank,"L(E,1)_p10000","L_prime(E,1)","L_double(E,1)",A_extrap,B_slope,R2_extrap,K_mean,K_mean_abs,K_std,K_max_abs
E11a1 (rank 0),11.a1,11,0,0,1.763995604136e-01,1.054852410219e+00,-5.411258904853e+00,2.205077384349e-01,-3.886425835259e-01,0.033880,-0.01876311,11.70352776,14.20865609,36.84322099
E14a1 (rank 0),14.a1,14,0,0,2.343264801911e-01,1.329284788449e+00,-7.643878066621e+00,1.022032884593e-01,1.168741464995e+00,0.462376,0.06269711,12.27458379,14.83208434,36.44379916
E37a1 (rank 1),37.a1,37,1,1,1.302657559438e-02,1.895613483952e-01,1.344009794603e+00,-5.961456702299e-03,1.736729935205e-01,0.880942,-0.04669160,12.93138810,15.50148430,35.91949755
E43a1 (rank 1),43.a1,43,1,1,1.554540116482e-02,2.159261156372e-01,1.397535203014e+00,8.922064423469e-04,1.286040388496e-01,0.639038,-0.03602685,12.03737612,14.51711449,34.56757435
E389a1 (rank 2),389.a1,389,2,2,1.571719523815e-03,3.869943769004e-02,6.877056450130e-01,-4.946130058009e-03,6.226411893594e-02,0.673736,-0.03163761,13.73426249,17.23272417,52.12362614

"=== Convergence Data: L(E,1) vs p_max ==="
Curve,L_at_2000,L_at_4000,L_at_6000,L_at_8000,L_at_10000,A_extrap,B_slope,R2
E11a1 (rank 0),1.704966857301e-01,1.583490230020e-01,2.069235822833e-01,1.622663169819e-01,1.763995604136e-01,2.205077384349e-01,-3.886425835259e-01,0.033880
E14a1 (rank 0),2.655397828882e-01,2.267115550581e-01,2.290401667742e-01,2.413604642116e-01,2.343264801911e-01,1.022032884593e-01,1.168741464995e+00,0.462376
E37a1 (rank 1),1.700388935790e-02,1.442627747481e-02,1.485121855960e-02,1.281754280773e-02,1.302657559438e-02,-5.961456702299e-03,1.736729935205e-01,0.880942
E43a1 (rank 1),1.855635979183e-02,1.528307360796e-02,1.489126743027e-02,1.566568213459e-02,1.554540116482e-02,8.922064423469e-04,1.286040388496e-01,0.639038
E389a1 (rank 2),2.906775813474e-03,3.224773831388e-03,2.224290264299e-03,1.886074242101e-03,1.571719523815e-03,-4.946130058009e-03,6.226411893594e-02,0.673736

"=== a_p Coefficients (first 200 primes, p_max=10000) ==="
p,E11a1,E14a1,E37a1,E43a1,E389a1
2,-2,-1,-2,-2,-2
3,-1,-2,-3,-2,-2
5,1,0,-2,-4,-3
7,-2,1,-1,0,-5
11,1,0,-5,3,-4
13,4,-4,-2,-5,-3
17,-2,6,0,-3,-6
19,0,2,0,-2,5
23,-1,0,2,-1,-4
29,0,-6,6,-6,-6
31,7,-4,-4,-1,4
37,3,2,-1,0,-8
41,-8,6,-9,5,-3
43,-6,8,2,-1,12
47,8,-12,-9,4,-2
53,-6,6,1,-5,-6
59,5,-6,8,-12,3
61,12,8,-8,2,-8
67,-7,-4,8,-3,-5
71,-3,0,9,2,-10
73,4,2,-1,2,-7
79,-10,8,4,-8,-13
83,-6,-6,-15,15,-12
89,15,-6,4,-4,-8
97,-7,-10,4,7,-9
101,2,0,3,-9,-4
103,-16,-4,18,1,-6
107,18,12,-12,-12,0
109,10,2,-16,7,2
113,9,6,-18,-20,9
127,8,-16,1,1,11
131,-18,18,-12,8,2
137,-7,18,-6,6,-2
139,10,14,4,19,16
149,-10,-18,-5,12,10
151,2,8,16,-20,-10
157,-7,-4,23,-10,-6
163,4,-16,-18,14,-20
167,-12,-12,-12,-9,8
173,-6,-12,9,6,15
179,-15,-12,18,20,-19
181,7,20,5,10,15
191,17,24,-4,-16,-4
193,4,14,-26,3,-18
197,-2,-18,3,2,8
199,0,20,2,14,-2
211,12,-4,-13,2,7
223,19,8,-17,-28,-5
227,18,18,-16,-4,12
229,15,-4,7,-15,-8
233,24,-6,6,6,-6
239,-30,24,-6,16,5
241,-8,-10,14,-12,-30
251,-23,-18,-2,-23,22
257,-2,18,0,-24,8
263,14,0,19,-18,-24
269,10,-12,-6,-25,3
271,-28,-16,-31,23,-8
277,-2,-10,12,-32,17
281,-18,-6,12,19,-12
283,4,-22,4,21,-9
293,24,24,-2,-26,-10
307,8,2,-17,-7,26
311,12,-24,0,15,-7
313,-1,-10,22,22,19
317,13,6,22,9,-22
331,7,8,-2,-26,4
337,-22,14,-25,-3,-18
347,28,-24,-10,28,9
349,30,-28,6,14,-10
353,-21,18,8,-31,14
359,-20,-24,-15,19,-20
367,-17,8,8,-32,2
373,-26,14,-19,32,-22
379,-5,-16,15,11,4
383,-1,36,20,32,-7
389,-15,18,4,6,1
397,-2,20,-5,-6,24
401,2,-18,18,5,-22
409,-30,14,20,-24,-1
419,20,6,7,-28,-35
421,22,-10,-24,-10,-16
431,-18,24,-30,-21,11
